"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"J5","WAGO 243-721","TopLayer","243-721","48.7680mm","56.5610mm","180","TERM BLOCK PLUG 1POS 5.75MM","0.0000mm","48.6680mm","53.7360mm","48.7680mm","53.6860mm"
"J1","WAGO 243-721","TopLayer","243-721","48.7680mm","73.3250mm","180","TERM BLOCK PLUG 1POS 5.75MM","0.0000mm","48.6680mm","70.5000mm","48.7680mm","70.4500mm"
"U3","TSR_1-2433","TopLayer","TSR-1","67.9450mm","73.6840mm","0","1 Amp POL switching regulator, 4.6 to -36 VDC input, pos.-pos. circuit, LM78 compatible, SIP-3","0.0000mm","67.9450mm","75.1840mm","65.4050mm","73.6840mm"
"U4","MAX3485EESA+T","TopLayer","SOIC127P600X175-8N","106.2990mm","64.4465mm","0","3.3V Powered, ±15kV ESD-Protected, 12Mbps, Slew-Rate-Limited True RS-485/RS-422 Transceivers3.3V 供电、±15kV ESD 保护、12Mbps、压摆率受限的真正 RS-485/RS-422 收发器","1.7500mm","106.2990mm","64.4465mm","103.5740mm","66.3515mm"
"U2","SN65HVD230DG4","TopLayer","SOIC127P599X175-8N","58.6740mm","57.0230mm","180","3.3 V CAN Transceiver with Standby Mode 8-SOIC -40 to 85","0.0000mm","58.6740mm","57.0230mm","61.1440mm","55.1180mm"
"U1","ESP32-WROOM-32UE","TopLayer","MODULE_ESP32-WROOM-32UE(M113EH6400UH3Q0)","87.9840mm","69.0750mm","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Antenna Not Included, U.FL Surface Mount","3.3500mm","87.9840mm","69.5450mm","79.2340mm","77.9550mm"
"SW2","EVQQ2W03W","TopLayer","EVQQ2W03W","101.6000mm","53.7210mm","270","White Push Plate Tactile Switch, SPST-NO 20 mA 3.1mm","0.0000mm","101.6000mm","53.7210mm","98.2000mm","55.7210mm"
"SW1","EVQQ2W03W","TopLayer","EVQQ2W03W","71.2470mm","53.7210mm","270","White Push Plate Tactile Switch, SPST-NO 20 mA 3.1mm","0.0000mm","71.2470mm","53.7210mm","67.8470mm","55.7210mm"
"SB4","Solderbridge","TopLayer","Solderbridge","107.5690mm","61.0870mm","0","Solderbridge","0.0000mm","107.5690mm","61.0870mm","107.2190mm","61.0870mm"
"SB2","Solderbridge","TopLayer","Solderbridge","57.0230mm","53.3400mm","0","Solderbridge","0.0000mm","57.0230mm","53.3400mm","56.6730mm","53.3400mm"
